;;; File   : RTW_rtwbreed_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: rtwbreed

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Afscheidingen                                                                                                                             21 
34  as-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Beplanting                                                                                                                                29 
1   bp-bomenrij                             18   93        laanbep        35   90        laanbep        35   90        laanbep_v           Laanbeplanting/bomenrij
2   bp-bomenstruiken                        18   93        continuous     35   90        continuous     35   90        continuous          Bomen struiken
3   bp-boom                                 18   93        continuous     35   90        continuous     35   90        continuous          Bomen
4   bp-bos                                  18   93        continuous     35   90        continuous     35   90        continuous          Bos
5   bp-bosplantsoen                         18   93        continuous     35   90        continuous     35   90        continuous          Bosplantsoen
6   bp-diverse                              18   93        continuous     35   90        continuous     35   90        continuous          Diverse
7   bp-grasachtbegr                         18   93        continuous     35   90        continuous     35   90        continuous          Grasachtige begroeiing
8   bp-grasland                             18   93        continuous     35   90        continuous     35   90        continuous          Grasland
9   bp-groenstrook                          18   93        continuous     35   90        continuous     35   90        continuous          Groenstrook
10  bp-houtwal                              18   8         houtwal        35   7         houtwal        35   7         houtwal_v           Houtwal
11  bp-moeras                               18   93        continuous     35   90        continuous     35   90        continuous          Moeras
12  bp-overig                               18   93        continuous     35   90        continuous     35   90        continuous          Overige beplanting
13  bp-riet                                 18   93        continuous     35   90        continuous     35   90        continuous          Riet
14  bp-sierplantsoen                        18   93        continuous     35   90        continuous     35   90        continuous          Sierplantsoen
15  bp-struiken                             18   93        continuous     35   90        continuous     35   90        continuous          Struiken
16  bp-struweel                             18   93        continuous     35   90        continuous     35   90        continuous          Struweel
17  bp-contour_z                            18   93        continuous     35   90        continuous     35   90        continuous          Algemeen-contouren zichtbaar
18  bp-contour_nz                           18   93        rtwdashed50    35   90        rtwdashed50    35   90        rtwdashed50         Algemeen-contouren niet zichtbaar
19  bp-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
20  bp-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
21  bp-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
22  bp-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
23  ------------------------------------------
24  bp-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
25  bp-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
26  bp-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
27  bp-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
28  bp-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
29  bp-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Dwarsprofiel                                                                                                                              49 
1   dp-aslijn                               18   13        aslijn         35   10        aslijn         35   10        aslijn              Aslijn
2   dp-diversen                             18   8         continuous     35   7         continuous     35   7         continuous          Diversen (Afscheidingen, grondkeringen etc)
3   dp-doorrijhoogte                        18   13        continuous     35   10        continuous     35   10        continuous          Doorrijhoogte
4   dp-doorvrthoogte                        18   13        continuous     35   10        continuous     35   10        continuous          Doorvaarthoogte
5   dp-geleiderail                          18   213       continuous     35   210       continuous     35   210       continuous          Geleiderail
6   dp-geluidswvz                           18   8         continuous     35   7         continuous     35   7         continuous          Geluidswerende voorziening
7   dp-grid                                 18   253       continuous     18   253       continuous     18   253       continuous          Grid
8   dp-grid_major                           35   7         continuous     35   7         continuous     35   7         continuous          Grid major
9   dp-grndaanvarc                          0    #         continuous     18   7         continuous     0    #         continuous          Arcering grond aanvullen
10  dp-grndontgrarc                         0    #         continuous     0    #         continuous     18   7         continuous          Arcering grond ontgraven
