;;; File   : RTW_wegen_lay_defkl.dat gegenereerd uit RTW.mdb
;;; Functie: Tabel met alle RTW lagen tbv RTW toolbox discipline: wegen

Posities:
POS_AANTLAAGNAAM   140
POS_LAAGNAAM       5
POS_LW_BS          45
POS_KL_BS          50
POS_LT_BS          60
POS_LW_NW          75
POS_KL_NW          80
POS_LT_NW          90
POS_LW_VW          105
POS_KL_VW          110
POS_LT_VW          120
POS_OMSCHR         140


    5                                       45   50        60             75   80        90             105  110       120                 140

*Bewegwijzering                                                                                                                            24 
27  gr-vlp2dl133_80                         18   213       vlp2dl13380    35   210       vlp2dl13380    35   210       vlp2dl13380_v       VLP 2dl  133-80
28  gr-vlp2z133_60                          18   213       vlp2z13360     35   210       vlp2z13360     35   210       vlp2z13360_v        VLP 2z   133-60
29  gr-vlp2z133_80                          18   213       vlp2z13380     35   210       vlp2z13380     35   210       vlp2z13380_v        VLP 2z   133-80
30  gr-vlp2z267_80                          18   213       vlp2z26780     35   210       vlp2z26780     35   210       vlp2z26780_v        VLP 2z   267-80
31  gr-vlp2zc133_80                         18   213       vlp2zc13380    35   210       vlp2zc13380    35   210       vlp2zc13380_v       VLP 2z c 133-80
32  gr-contour_z                            18   213       continuous     35   210       continuous     35   210       continuous          Algemeen-contouren zichtbaar
33  gr-contour_nz                           18   213       rtwdashed50    35   210       rtwdashed50    35   210       rtwdashed50         Algemeen-contouren niet zichtbaar
34  gr-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
35  gr-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
36  gr-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
37  gr-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
38  ------------------------------------------
39  gr-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
40  gr-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
41  gr-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
42  gr-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
43  gr-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
44  gr-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Geluidswerende voorzieningen                                                                                                              16 
1   gv-geluidswering                        18   8         continuous     35   7         continuous     35   7         continuous          Geluidswering (algemeen)
2   gv-scherm                               18   8         scherm         35   7         scherm         35   7         scherm_v            Scherm
3   gv-wal                                  18   93        continuous     35   90        continuous     35   90        continuous          Wal
4   gv-contour_z                            18   8         continuous     35   7         continuous     35   7         continuous          Algemeen-contouren zichtbaar
5   gv-contour_nz                           18   8         rtwdashed50    35   7         rtwdashed50    35   7         rtwdashed50         Algemeen-contouren niet zichtbaar
6   gv-hartlijn                             18   13        rtwcenter50    18   10        rtwcenter50    18   10        rtwcenter50         Algemeen-hartlijnen
7   gv-afbreeklijn                          18   8         rtwcenter50    18   8         rtwcenter50    18   8         rtwcenter50         Algemeen-afbreeklijnen
8   gv-hulpgeometrie                        18   53        continuous     35   50        continuous     35   50        continuous          Algemeen-Hulpgeometrie
9   gv-arcering                             18   254       continuous     18   253       continuous     18   253       continuous          Arcering
10  ------------------------------------------
11  gv-bm                                   25   7         continuous     25   7         continuous     25   7         continuous          Bemating
12  gv-t18                                  18   7         continuous     18   7         continuous     18   7         continuous          Tekst 1.80 mm
13  gv-t25                                  25   7         continuous     25   7         continuous     25   7         continuous          Tekst 2.50 mm
14  gv-t35                                  35   7         continuous     35   7         continuous     35   7         continuous          Tekst 3.50 mm
15  gv-t50                                  50   7         continuous     50   7         continuous     50   7         continuous          Tekst 5.00 mm
16  gv-t70                                  70   7         continuous     70   7         continuous     70   7         continuous          Tekst 7.00 mm

*Landverkeerinstallaties                                                                                                                   166 
1   li-vri-voeding                          18   13        elec           35   10        elec           35   12        elec_v              VerkeersRegelinstallatie Voedingskabel
2   li-vri-signaal                          18   93        signa          35   90        signa          35   92        signa_v             VerkeersRegelinstallatie Signaalkabel
3   li-vri-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie Aarding
4   li-vri-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie Mantelbuis of koker
5   li-vri-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie Kabelkoker
6   li-vri-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie Kabelgoot
7   li-vri-kast                             18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie Kast
8   li-vri-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie Laskast
9   li-vri-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie bundel van kabels met kabelvlag
10  li-vri-put                              18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie put
11  li-vri-overig                           18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie overige onderdelen
12  li-vri-lus                              18   9         continuous     35   7         continuous     35   8         continuous          VerkeersRegelinstallatie detectielus
13  li-ov-voeding                           18   13        elec           35   10        elec           35   12        elec_v              Openbare Verlichting Voedingskabel
14  li-ov-signaal                           18   93        signa          35   90        signa          35   92        signa_v             Openbare Verlichting Signaalkabel
15  li-ov-aarding                           18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting Aarding
16  li-ov-mantelbuis                        18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting Mantelbuis of koker
17  li-ov-kabelkoker                        18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting Kabelkoker
18  li-ov-kabelgoot                         18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting Kabelgoot
19  li-ov-kast                              18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting Kast
20  li-ov-laskast                           18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting Laskast
21  li-ov-bundel                            18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting bundel van kabels met kabelvlag
22  li-ov-put                               18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting put
23  li-ov-overig                            18   9         continuous     35   7         continuous     35   8         continuous          Openbare Verlichting overige onderdelen
24  li-tdi-voeding                          18   13        elec           35   10        elec           35   12        elec_v              ToeritDoseringInstallatie Voedingskabel
25  li-tdi-signaal                          18   93        signa          35   90        signa          35   92        signa_v             ToeritDoseringInstallatie Signaalkabel
26  li-tdi-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie Aarding
27  li-tdi-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie Mantelbuis of koker
28  li-tdi-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie Kabelkoker
29  li-tdi-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie Kabelgoot
30  li-tdi-kast                             18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie Kast
31  li-tdi-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie Laskast
32  li-tdi-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie bundel van kabels met kabelvlag
33  li-tdi-put                              18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie put
34  li-tdi-overig                           18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie overige onderdelen
35  li-tdi-lus                              18   9         continuous     35   7         continuous     35   8         continuous          ToeritDoseringInstallatie detectielus
36  li-sig-voeding                          18   13        elec           35   10        elec           35   12        elec_v              Signalering Voedingskabel
37  li-sig-signaal                          18   93        signa          35   90        signa          35   92        signa_v             Signalering Signaalkabel
38  li-sig-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          Signalering Aarding
39  li-sig-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          Signalering Mantelbuis of koker
40  li-sig-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          Signalering Kabelkoker
41  li-sig-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          Signalering Kabelgoot
42  li-sig-kast                             18   9         continuous     35   7         continuous     35   8         continuous          Signalering Kast
43  li-sig-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          Signalering Laskast
44  li-sig-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          Signalering bundel van kabels met kabelvlag
45  li-sig-put                              18   9         continuous     35   7         continuous     35   8         continuous          Signalering put
46  li-sig-overig                           18   9         continuous     35   7         continuous     35   8         continuous          Signalering overige onderdelen
47  li-sig-lus                              18   9         continuous     35   7         continuous     35   8         continuous          Signalering detectielus
48  li-gms-voeding                          18   13        elec           35   10        elec           35   12        elec_v              GladheidsMeldingsSysteem Voedingskabel
49  li-gms-signaal                          18   93        signa          35   90        signa          35   92        signa_v             GladheidsMeldingsSysteem Signaalkabel
50  li-gms-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem Aarding
51  li-gms-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem Mantelbuis of koker
52  li-gms-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem Kabelkoker
53  li-gms-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem Kabelgoot
54  li-gms-kast                             18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem Kast
55  li-gms-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem Laskast
56  li-gms-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem bundel van kabels met kabelvlag
57  li-gms-put                              18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem put
58  li-gms-overig                           18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem overige onderdelen
59  li-gms-lus                              18   9         continuous     35   7         continuous     35   8         continuous          GladheidsMeldingsSysteem detectielus
60  li-drp-voeding                          18   13        elec           35   10        elec           35   12        elec_v              Dynamisch Route Informatie Systeem Voedingskabel
61  li-drp-signaal                          18   93        signa          35   90        signa          35   92        signa_v             Dynamisch Route Informatie Systeem Signaalkabel
62  li-drp-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem Aarding
63  li-drp-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem Mantelbuis of koker
64  li-drp-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem Kabelkoker
65  li-drp-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem Kabelgoot
66  li-drp-kast                             18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem Kast
67  li-drp-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem Laskast
68  li-drp-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem bundel van kabels met kabelvlag
69  li-drp-put                              18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem put
70  li-drp-overig                           18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem overige onderdelen
71  li-drp-lus                              18   9         continuous     35   7         continuous     35   8         continuous          Dynamisch Route Informatie Systeem detectielus
72  li-hhs-voeding                          18   13        elec           35   10        elec           35   12        elec_v              HandHavingssysteem Voedingskabel
73  li-hhs-signaal                          18   93        signa          35   90        signa          35   92        signa_v             HandHavingssysteem Signaalkabel
74  li-hhs-aarding                          18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem Aarding
75  li-hhs-mantelbuis                       18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem Mantelbuis of koker
76  li-hhs-kabelkoker                       18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem Kabelkoker
77  li-hhs-kabelgoot                        18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem Kabelgoot
78  li-hhs-kast                             18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem Kast
79  li-hhs-laskast                          18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem Laskast
80  li-hhs-bundel                           18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem bundel van kabels met kabelvlag
81  li-hhs-put                              18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem put
82  li-hhs-overig                           18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem overige onderdelen
83  li-hhs-lus                              18   9         continuous     35   7         continuous     35   8         continuous          HandHavingssysteem detectielus
